KAAM,770 AM,Garland,"DJRD Broadcasting, LLC",Adult Standards/Oldies
KBED,1510 AM,Nederland,Cumulus Licensing LLC,CBS Sports
KBEN,1450 AM,Carrizo Springs,Sylvia Mijares,Country
KBEX,96.1 FM,Dalhart,"Viva Media, LLC",Country
KBEY,103.9 FM,Burnet,"Victory Publishing Company, Ltd.",Country
KBFB,97.9 FM,Dallas,"Radio One Licenses, LLC",Mainstream Urban/Rhythmic Contemporary
KBFM,104.1 FM,Edinburg,Capstar TX LLC,Rhythmic Contemporary
KBGO,95.7 FM,Waco,Capstar TX LLC,Classic Hits
KBGT,93.3 FM,Buffalo Gap,"In Phase Broadcasting, Inc.",
KBHT,104.9 FM,Bellmead,"M&M Broadcasters, Ltd.",Rhythmic Contemporary
KBIB,1000 AM,Marion,Hispanic Community College,Spanish Religious
KBIC,105.7 FM,Raymondville,Christian Ministries of the Valley,Christian
KBJS,90.3 FM,Jacksonville,"East Texas Media Association, Inc.",Christian
KBKN,91.3 FM,Lamesa,La Promesa Foundation,
KBLC,91.5 FM,Fredericksburg,"Houston Christian Broadcasters, Inc.",Religious
KBLZ,102.7 FM,Winona,"S.O. 2,000, LC",Rhythmic Contemporary
KBMD,88.5 FM,Marble Falls,La Promesa Foundation,
KBME,790 AM,Houston,AMFM Texas Licenses LLC,Sports Talk
KBMM,89.5 FM,Odessa,American Family Association,Religious
KBNA-FM,97.5 FM,El Paso,Tichenor License Corporation,
KBNJ,91.7 FM,Corpus Christi,World Radio Network,Religious
KBNL,89.9 FM,Laredo,World Radio Network,Spanish Talk
KBNR,88.3 FM,Brownsville,World Radio Network,Spanish Religious
KBNU,93.9 FM,Uvalde,MBM Radio Uvalde LLC,Classic Country
KBOC,98.3 FM,Bridgeport,Lieberman Broadcasting of Dallas License LLC,Regional Mexican
KBPA,103.5 FM,San Marcos,"Emmis Austin Radio Broadcasting Company, L.P.",Hits
KBPC,93.5 FM,Crockett,"KBPC, LLC",Classic Rock
KBPO,1150 AM,Port Neches,"Christian Ministries of the Valley, Inc.",All Sports
KBRA,95.9 FM,Freer,"Cobra Broadcasting, LLC - KBRA",Silent
KBRN,1500 AM,Boerne,"Claro Communications, Ltd.",Spanish Talk
KBRQ,102.5 FM,Hillsboro,"Clear Channel Broadcasting Licenses, Inc.",Album Oriented Rock
KBRZ,1460 AM,Missouri,"Daij Media, LLC",Spanish Religious
KBRZ-FM,89.7 FM,Victoria,Aleluya Broadcasting Network,Spanish Religious
KBSO,94.7 FM,Corpus Christi,Reina Broadcasting Inc.,Country
KBST,1490 AM,Big Spring,"Kbest Media, LLC",
KBST-FM,95.7 FM,Big Spring,"Kbest Media, LLC",Country
KBTD,89.1 FM,Freer,The Worship Center of Kingsville,
KBTE,104.9 FM,Tulia,Wilks License Company-Lubbock LLC,Rhythmic Contemporary
KBTQ,96.1 FM,Harlingen,Tichenor License Corporation,Spanish Adult Hits
KBTS,94.3 FM,Big Spring,"Kbest Media, LLC",Hot Adult Contemporary
KBUB,90.3 FM,Brownwood,"BLM of Brownwood, Inc.",Religious
KBUC,102.1 FM,Raymondville,MBM Texas Valley LLC,Tejano
KBUK,104.9 FM,La Grange,"KBUK Radio, Inc.",Country
KBUS,101.9 FM,Paris,"East Texas Broadcasting, Inc.",Classic Rock
KBWC,91.1 FM,Marshall,Wiley College,Urban Contemporary
KBWD,1380 AM,Brownwood,Brown County Broadcasting Co.,Adult Contemporary
KBXD,1480 AM,Dallas,"JCE Licenses, LLC",
KBXT,101.9 FM,Wixon Valley,"Brazos Valley Communications, Ltd.",
KBXX,97.9 FM,Houston,"Radio One Licenses, LLC",Mainstream Urban
KBYG,1400 AM,Big Spring,"Weeks Broadcasting, Inc.",
KBYL,98.9 FM,Lockney,Bryan A. King,
KBZD,99.7 FM,Amarillo,"Tejas Broadcasting Ltd., LLP",Hot AC
KBZO,1460 AM,Lubbock,"Entravision Holdings, LLC",
KBZS,106.3 FM,Wichita Falls,"Townsquare Media Wichita Falls License, LLC",Active Rock
KCAF-FM,92.1 FM,Kenedy,"Rufus Resources, LLC",Spanish Christian
KCAR,1350 AM,Clarksville,American Media Investments Inc.,Classic Country
KCAS,91.5 FM,McCook,"Faith Baptist Church, Inc.",Religious
KCBI,90.9 FM,Dallas,"First Dallas Media, Inc.",Christian
KCBN,107.7 FM,Hico,"First Dallas Media, Inc.",Christian
KCCP-LP,102.3 FM,South Padre Island,Cameron County Texas,
KCCT,1150 AM,Corpus Christi,"Radio KCCT, Inc.",
KCDD,103.7 FM,Hamlin,Cumulus Licensing LLC,Rhythmic Contemporary
KCER-LP,105.9 FM,Cisco,Aliyat Communications,
KCHL,1480 AM,San Antonio,"Martin Broadcasting, Inc.",
KCHN,1050 AM,Brookshire,"Multicultural Radio Broadcasting Licensee, LLC",
KCHT,99.7 FM,Childress,"James G. Boles, Jr.",
KCHX,106.7 FM,Midland,"ICA Radio, Ltd.",Regional Mexican
KCKL,95.9 FM,Malakoff,"Lake Country Radio, L.P.",Country
KCKM,1330 AM,Monahans,"Kickin' Country Broadcasting, L.L.C.",Classic Country
KCKT,88.5 FM,Crockett,American Family Association,Religious
KCLE,1460 AM,Burleson,"M&M Broadcasters, Ltd.",Sports
KCLL,100.1 FM,San Angelo,Foster Communications Co.,Oldies
KCLW,900 AM,Hamilton,Faith in Christ Mission,Classic Country
KCMC,940 AM,Texarkana,"Texarkana Radio Center Licenses, LLC",Classic Hits
KCMZ,105.5 FM,Ozona,"Christian Ministries of the Valley, Inc.",
KCOH,1230 AM,Houston,Liberman Broadcasting of Houston License LLC,Urban Oldies
KCOL-FM,92.5 FM,Groves,"Clear Channel Broadcasting Licenses, Inc.",Classic Hits
KCOM,1550 AM,Comanche,"CCR-Stephenville III, LLC",Classic Country
KCOR,1350 AM,San Antonio,Tichenor License Corporation,Full Service
KCOT,96.3 FM,Cotulla,Jose Antonio Aguilar,
KCOX,1350 AM,Jasper,"Cross Texas Media, Inc.",News Talk Information
KCRN,1340 AM,San Angelo,"First Dallas Media, Inc.",Christian
KCRN-FM,93.9 FM,San Angelo,"First Dallas Media, Inc.",Christian
KCRS,550 AM,Midland,"ICA Radio, Ltd.",News Talk Information
KCRS-FM,103.3 FM,Midland,"ICA Radio, Ltd.",Top 40 (CHR)
KCSA-LP,95.7 FM,San Angelo,"Concho Christmas Celebration, Inc.",
KCTA,1030 AM,Corpus Christi,Broadcasting Corporation of the Southwest,Christian Talk
KCTI,1450 AM,Gonzales,Gonzales Communications a TX Ltd. PTN,Texas Country
KCTX,1510 AM,Childress,"James G. Boles, Jr.",Country
KCTX-FM,96.1 FM,Childress,"James G. Boles, Jr.",
KCUL,1410 AM,Marshall,Access.1 Texas License Company LLC,
KCUL-FM,92.3 FM,Marshall,"Cosecha Communications LLC, as trustee",Regional Mexican
KCWM,1460 AM,Hondo,"Hondo Communications, Inc.",Country
KCYB-LP,101.7 FM,Cypress,Cypress Broadcasting Club,
KCYL,1450 AM,Lampasas,Ronald K. Witcher,
KCYP-LP,97.7 FM,Mission,Intercity Christian Youth Program,
KCYR-LP,101.5 FM,Kerrville,Trinity Baptist Church,
KCYY,100.3 FM,San Antonio,"Cox Radio, Inc.",Country
KCZO,92.1 FM,Carrizo Springs,Paulino Bernal Evangelism,Spanish Religious
KDAE,1590 AM,Sinton,The Worship Center of Kingsville,Spanish Religious
KDAV,1590 AM,Lubbock,"Renaissance Broadcasting, Inc.",Oldies
KDCD,92.9 FM,San Angelo,"Four R Broadcasting, Inc.",Country
KDCJ,91.5 FM,Kermit,La Promesa Foundation,
KDDD,800 AM,Dumas,"PBI, LLC",
KDDD-FM,95.3 FM,Dumas,"PBI, LLC",Oldies
KDEI,1250 AM,Port Arthur,Radio Maria,Christian
KDET,930 AM,Center,"Center Broadcasting Company, Inc.",News Talk Information
KDFM,103.3 FM,Falfurrias,La Radio Cristiana,Spanish
KDFT,540 AM,Ferris,"Way Broadcasting Licensee, LLC",Spanish Religious
KDGE,102.1 FM,Fort Worth-Dallas,Capstar TX LLC,Alternative Rock
KDHN,1470 AM,Dimmitt,Collins Communications Company,Country
KDJW,1360 AM,Amarillo,Catholic Radio of the Texas High Plains,Catholic
KDKR,91.3 FM,Decatur,"Penfold Communications, Inc.",Christian
KDKY,91.5 FM,Marathon,Marfa Public Radio,
KDLI,89.9 FM,Del Rio,American Family Association,
KDLK-FM,94.1 FM,Del Rio,"Forum Broadcasting, Inc.",Country
KDLP-LP,104.7 FM,Ace,Ace Radio Inc.,
KDMX,102.9 FM,Dallas,"Citicasters Licenses, Inc.",Adult Top 40
KDOK,1240 AM,Kilgore,"Chalk Hill Communications, LLC",Classic Hits
KDOL-LP,96.1 FM,Livingston,Lake Livingston Broadcasting,
KDRL,103.3 FM,Pampa,"Pampa Broadcasters, Inc.",Classic Rock
KDRP-LP,103.1 FM,Dripping Springs,"Principle Broadcasting Foundation, Inc.",
KDRX,106.9 FM,Laughlin AFB,"MBM Radio Del Rio, LLC",
KDRY,1100 AM,Alamo Heights,"KDRY Radio, Inc.",Christian Teaching & Preaching
KDSH-LP,105.1 FM,Borger,"Living River Ministries, Inc.",
KDXX,99.1 FM,Denton,KHCK-FM License Corp.,Spanish AC
KEAN-FM,105.1 FM,Abilene,"Townsquare Media Abilene License, LLC",Country
KEBE,1400 AM,Jacksonville,"Waller Broadcasting, Inc.",Spanish Contemporary
KEDA,1540 AM,San Antonio,"Claro Communications, Ltd.",
KEDC,88.5 FM,Hearne,Red-C Apostolate: Religious Education for the Domestic Church,
KEDR,88.1 FM,Bay City,"Family Stations, Inc.",Religious
KEDT-FM,90.3 FM,Corpus Christi,South Texas Public Broadcasting System,Public Radio
KEEP,103.1 FM,Bandera,"Hill Country Broadcasting, LLC",Country
KEES,1430 AM,Gladewater,"Salt of the Earth Broadcasting, Inc.",
KEFH,99.3 FM,Clarendon,Roho Broadcasting Company,Classic Hits
KEGL,97.1 FM,Fort Worth,"Citicasters Licenses, Inc.",Mainstream Rock
KEJS,106.5 FM,Lubbock,Barton Broadcasting Company,Tejano
KEKO,101.7 FM,Hebbronville,La Cadena Nueva Radio Luz,Spanish Christian
KELG,1440 AM,Manor,"Encino Broadcasting, LLC",
KELI,98.7 FM,San Angelo,"Townsquare Media San Angelo License, LLC",Adult Contemporary
KELP,1590 AM,El Paso,McClatchey Broadcasting,Christian
KELT,102.5 FM,Encinal,Randall E. Leyendecker,
KEMA,94.5 FM,Three Rivers,Roy E. Henderson,
KEOE-LP,101.1 FM,Lufkin,V.E. Leach Ministries,Religious
KEOM,88.5 FM,Mesquite,Mesquite Independent School District,Classic Hits
KEOS,89.1 FM,College Station,Brazos Educational Radio,Public Radio
KEPI,88.7 FM,Eagle Pass,World Radio Network,Religious
KEPS,1270 AM,Eagle Pass,MBM Radio Eagle Pass LLC,Spanish Contemporary
KEPX,89.5 FM,Eagle Pass,World Radio Network,Spanish Religious
KEQX,89.7 FM,Stephenville,CSSI Non-Profit Educational Broadcasting Corporation,Classic Country
KERA,90.1 FM,Dallas,"North Texas Public Broadcasting, Inc.",News/Talk (Public)
KERB-FM,106.3 FM,Kermit,"La Radio Cristiana Network, Inc.",Spanish
KERC-LP,95.3 FM,Kermit,Holy Spirit Oil Filled Ministry,
KERG,104.7 FM,Escobares,"Christian Ministries of the Valley, Inc.",
KERV,1230 AM,Kerrville,"Foster Charitable Foundation, Inc.",
KESN,103.3 FM,Allen,"KESN Assets, LLC",Sports
KESO,92.7 FM,South Padre Island,MBM Texas Valley LLC,Regional Mexican
KESS-FM,107.1 FM,Benbrook,KCYT-FM License Corp.,Spanish AC
KETE,99.7 FM,Sulphur Bluff,"The Way Radio Group, LLC",Classic Country
KETR,88.9 FM,Commerce,Texas A&M University - Commerce,Public Radio
KETX,1440 AM,Livingston,"Telcom Supply, Inc.",Oldies
KETX-FM,92.3 FM,Livingston,"Telcom Supply, Inc.",Classic Hits
KETY,102.3 FM,Westbrook,Bryan King,
KEWL-FM,95.1 FM,New Boston,American Media Investments Inc.,Classic Hits
KEWP,103.5 FM,Uvalde Estates,Jose Antonio Aguilar Arellano,
KEYE,1400 AM,Perryton,"Perryton Radio, Inc.",Country
KEYE-FM,93.7 FM,Perryton,"Perryton Radio, Inc.",Adult Contemporary
KEYH,850 AM,Houston,Liberman Broadcasting of Houston License LLC,Spanish
KEYJ-FM,107.9 FM,Abilene,"Townsquare Media Abilene License, LLC",Modern Rock
KEYS,1440 AM,Corpus Christi,"Malkan Interactive Communications, L.L.C.",Sports
KEYU-FM,102.9 FM,Amarillo,Midessa Broadcasting Limited Partnership,Spanish Adult Hits
KFAH,99.1 FM,Pineland,James M. Lout,
KFAN-FM,107.9 FM,Johnson City,"Hill Country Broadcasting, LLC",Adult Album Alternative
KFCD,990 AM,Farmersville,Bernard Dallas LLC,
KFCH,89.5 FM,Childress,"Centro de Milagros Congregation, Inc.",
KFGG-LP,101.9 FM,Marble Falls,Burnet Bible Church,
KFIT,1060 AM,Lockhart,"KFIT, Inc.",
KFJZ,870 AM,Fort Worth,Siga Broadcasting Corporation,Spanish Catholic
KFLB,920 AM,Odessa,Family Life Broadcasting System,Christian
KFLB-FM,88.1 FM,Stanton,"Family Life Broadcasting, Inc.",Christian
KFLC,1270 AM,Fort Worth,KESS-AM License Corp.,Spanish News/Talk/Sports
KFLP,900 AM,Floydada,Anthony L. Ricketts,Texas Country
KFLP-FM,106.1 FM,Floydada,Anthony L. Ricketts,
KFMK,105.9 FM,Round Rock,Crista Ministries,Contemporary Christian
KFMX-FM,94.5 FM,Lubbock,"Townsquare Media Lubbock License, LLC",Active Rock
KFNA,96.1 FM,Winters,"Doud Media Group, LLC",Top 40/CHR
KFNC,97.5 FM,Mont Belvieu,"Gow Communications, L.L.C.",Sports/Talk
KFRI,88.7 FM,West Odessa,Educational Media Foundation,
KFRO,1370 AM,Longview,Access.1 Texas License Company LLC,
KFRO-FM,95.3 FM,Gilmer,"Waller Media, LLC",Top 40 (CHR)
KFRQ,94.5 FM,Harlingen,"Entravision Holdings, LLC",Active Rock
KFST,860 AM,Fort Stockton,"Fort Stockton Radio Co, Inc.",Soft Adult Contemporary
KFST-FM,94.3 FM,Fort Stockton,"Fort Stockton Radio Co, Inc.",Soft Adult Contemporary
KFTG,88.1 FM,Pasadena,Aleluya Broadcasting Network,Spanish Religious
KFTX,97.5 FM,Kingsville,Quality Broadcasting Corporation,Country
KFWR,95.9 FM,Jacksboro,"LKCM Radio Licenses, L.P.",Texas Country
KFXR,1190 AM,Dallas,Capstar TX LLC,News/Talk
KFYN,1420 AM,Bonham,"Vision Media Group, Inc.",
KFYN-FM,104.3 FM,Detroit,"Vision Media Group, Inc.",
KFYO,790 AM,Lubbock,"Townsquare Media Lubbock License, LLC",News/Talk
KFZO,107.9 FM,Lewisville,KECS-FM License Corporation,Regional Mexican
KFZX,102.1 FM,Gardendale,"ICA Radio, Ltd.",Classic Rock
KGAF,1580 AM,Gainesville,"First IV Media, Inc.",Oldies
KGAP,98.5 FM,Clarksville,American Media Investments Inc.,Classic Hits
KGAS,1590 AM,Carthage,Jerry T. Hanszen,
KGAS-FM,104.3 FM,Carthage,Hanszen Broadcasting,Country
KGBC,1540 AM,Galveston,Siga Broadcasting Corporation,Asian Music/Talk
KGBT,1530 AM,Harlingen,Tichenor License Corporation,Spanish
KGBT-FM,98.5 FM,Mcallen,Tichenor License Corporation,Regional Mexican
KGBV,90.7 FM,Hardin,"Best Media, Inc.",
KGDL,92.1 FM,Trent,Jose Antonio Aguilar,
KGEE,97.3 FM,Pecos,"Townsquare Media Odessa-Midland II License, LLC",Rhythmic Top 40 (CHR)
KGGB,96.3 FM,Yorktown,Gerald Benavides,
KGGR,1040 AM,Dallas,"MBC of Texas-KGGR, LNC",
KGHY,88.5 FM,Beaumont,"CCS Radio, Inc.",
KGKL,960 AM,San Angelo,"Townsquare Media San Angelo License, LLC",News Talk Information
KGKL-FM,97.5 FM,San Angelo,"Townsquare Media San Angelo License, LLC",Country
KGLD,1330 AM,Tyler,"Salt of the Earth Broadcasting, Inc.",
KGLF,88.1 FM,Doss,Educational Media Foundation,
KGLK,107.5 FM,Lake Jackson,"Cox Radio, Inc.",Classic Rock (Simulcast KHPT 106.9)
KGLY,91.3 FM,Tyler,"Educational Radio Foundation of East Texas, Inc.",
KGNB,1420 AM,New Braunfels,"New Braunfels Communications, Inc.",
KGNC,710 AM,Amarillo,"MCC Radio, LLC",News
KGNC-FM,97.9 FM,Amarillo,"MCC Radio, LLC",Country
KGNZ,88.1 FM,Abilene,"Christian Broadcasting Co., Inc.","News, Christian"
KGOD-LP,94.1 FM,Tenaha,International Missionary Fellowship Inc. (IMF),
KGOL,1180 AM,Humble,"Entravision Holdings, LLC",
KGOW,1560 AM,Bellaire,"Gow Communications, L.L.C.",Sports
KGPF,91.1 FM,Sulphur Springs,Templo de Dios Inc. 1,
KGRO,1230 AM,Pampa,"Pampa Broadcasters, Inc.",Adult Contemporary
KGRW,94.7 FM,Friona,"Tejas Broadcasting Ltd., LLP",Regional Mexican
KGSR,93.3 FM,Cedar Park,"Emmis Austin Radio Broadcasting Company, L.P.",
KGSX,95.1 FM,Comfort,Univision Radio License Corporation,Classic Hip Hop
KGVB,90.9 FM,Wichita Falls,South Central Oklahoma Christian Broadcasting Inc.,Southern Gospel
KGVL,1400 AM,Greenville,"Hunt County Radio, LLC",Classic Country
KGWB,91.1 FM,snyder,Scurry County Junior College District,
KGWP,91.1 FM,Pittsburg,"Andres Serranos Ministries, Inc.",Religious
KGWT,93.5 FM,George West,"Hispanic Target Media, Inc.",
KGWU,1400 AM,Uvalde,La Promesa Foundation,Religious
KHAV,107.1 FM,Sabinal,Jose Antonio Aguilar,
KHBE,102.1 FM,Big Wells,Organizacion ICC,
KHBR,1560 AM,Hillsboro,"KHBR Radio, Inc.",Country
KHBW,91.7 FM,Brownwood,"Houston Christian Broadcasters, Inc.",Oldies
KHCB,1400 AM,League City,"Houston Christian Broadcasters, Inc.",Religious
KHCB-FM,105.7 FM,Houston,"Houston Christian Broadcasters, Inc.",Christian
KHCH,1410 AM,Huntsville,"Houston Christian Broadcasters, Inc.",Religious
KHCJ,91.9 FM,Jefferson,"Houston Christian Broadcasters, Inc.",Christian
KHCP,89.3 FM,Paris,"Houston Christian Broadcasters, Inc.",Christian
KHER,94.3 FM,Crystal City,Sylvia Mijares,
KHEY,1380 AM,El Paso,"CC Licenses, LLC",Sports
KHEY-FM,96.3 FM,El Paso,"CC Licenses, LLC",Country
KHFI-FM,96.7 FM,Georgetown,"CC Licenses, LLC",Top 40 (CHR)
KHFX,1140 AM,Cleburne,Siga Broadcasting Corp.,Talk
KHHC,91.3 FM,Canadian,Solid Rock Foundation,
KHHL,103.1 FM,Karnes City,"BMP San Antonio License Company, L.P.",Spanish Sports
KHIA-LP,97.7 FM,Brundage,He's Alive,
KHIB,88.5 FM,Bastrop,"Houston Christian Broadcasters, Inc.",Religious
KHID,88.1 FM,Mcallen,"RGV Educational Broadcasting, Inc.",Public Radio
KHJA,91.5 FM,Tatum,"Educational Radio Foundation of East Texas, Inc.",
KHJK,103.7 FM,La Porte,Educational Media Foundation,Religious Top 40
KHJQ,93.1 FM,Leakey,"Radio Dalhart, Inc.",Classic Country
KHKS,106.1 FM,Denton,AMFM Texas Licenses LLC,Top 40 (CHR)
KHKV,91.1 FM,Kerrville,"Houston Christian Broadcasters, Inc.",Religious
KHKX,99.1 FM,Odessa,"Brazos Communications West, LLC",Country
KHKZ,106.3 FM,Mercedes,"Clear Channel Broadcasting Licenses, Inc.",Hot Adult Contemporary
KHLB,102.5 FM,Mason,"III & W Broadcasting, LLC",Country
KHMC,95.9 FM,Goliad,Minerva R. Lopez,
KHML,91.5 FM,Madisonville,"Houston Christian Broadcasters, Inc.",Religious
KHMR,104.3 FM,Lovelady,KM Radio of Lovelady LLC,Silent
KHMX,96.5 FM,Houston,CBS Radio Stations Inc.,Adult Top 40
KHMZ,94.9 FM,Snyder,Hispanic Target Media Inc.,
KHOS-FM,92.1 FM,Sonora,"Foster Charitable Foundation, Inc.",Classic Country
KHOY,88.1 FM,Laredo,Laredo Catholic Communications,Catholic Radio
KHPO,91.9 FM,Port O'Connor,"Houston Christian Broadcasters, Inc.",
KHPS,88.9 FM,Uvalde,"Houston Christian Broadcasters, Inc.",
KHPT,106.9 FM,Conroe,"Cox Radio, Inc.",Classic Rock (Simulcast 107.5 KGLK)
KHRO,1150 AM,El Paso,"Entravision Holdings, LLC",Oldies
KHSE,700 AM,Wylie,Bernard Dallas LLC,
KHSP-LP,104.5 FM,Killeen,"Metroplex Adventist Hospital, Inc.",
KHTA,92.5 FM,Wake Village,"Houston Christian Broadcasters, Inc.",Religious
KHTL-LP,104.7 FM,Killeen,Killeen Seventh Adventist Church School,
KHTZ,94.9 FM,Ganado,Roy E. Henderson,
KHVL,1490 AM,Huntsville,"HEH Communications, LLC",Classic Hits
KHVN,970 AM,Fort Worth,"Mortenson Broadcasting Co. of Texas, Inc.",Urban Contemporary Gospel
KHVT,91.5 FM,Bloomington,"Houston Christian Broadcasters, Inc.",Religious
KHXS,102.7 FM,Merkel,Cumulus Licensing LLC,Classic Rock
KHYI,95.3 FM,Howe,"Metro Broadcasters - Texas, Inc.",Classic Country/Americana/Texas Music
KIBL,1490 AM,Beeville,"Rufus Resources, LLC",Spanish Religious
KICA-FM,98.3 FM,Farwell,"Tallgrass Broadcasting, LLC",Classic/Active Rock
KIIZ-FM,92.3 FM,Killeen,Capstar TX LLC,Urban Contemporary
KIJN,1060 AM,Farwell,"Unido Para Cristo, Inc.",Religious
KIJN-FM,92.3 FM,Farwell,Top O' Texas Educational Broadcasting Foundation,Religious
KIKK,650 AM,Pasadena,CBS Radio Texas Inc.,News/Talk
KIKR,1450 AM,Beaumont,Cumulus Licensing LLC,CBS Sports (Simulcast KBED)
KIKT,93.5 FM,Cooper,"Hunt County Radio, LLC",Country
KIKZ,1250 AM,Seminole,"Gaines County Broadcasting, LLC",Adult Contemporary
KILT,610 AM,Houston,"CBS Radio Texas, Inc.",Sports/Talk
KILT-FM,100.3 FM,Houston,"CBS Radio Texas, Inc.",Country
KIMP,960 AM,Mount Pleasant,"East Texas Broadcasting, Inc.",News Talk Information
KINE,1330 AM,Kingsville,Cotton Broadcasting,Spanish Religious
KINL,92.7 FM,Eagle Pass,MBM Radio Eagle Pass LLC,Hot Adult Contemporary
KINT-FM,93.9 FM,El Paso,"Entravision Holdings, LLC",Spanish Adult Hits
KIOC,106.1 FM,Orange,Capstar TX LLC,Active Rock
KIOX-FM,96.1 FM,Edna,"Globecom Media, LLC",
KIRT,1580 AM,Mission,"Bravo Broadcasting Company, Inc.",Spanish
KISS-FM,99.5 FM,San Antonio,"Cox Radio, Inc.",Active Rock
