Call sign,Frequency,City of License [1][2],Licensee,Format [3]
WNJP,88.5 FM,Sussex,New York Public Radio,NPR
WNJS-FM,88.1 FM,Berlin,"WHYY, Inc.",NPR
WNJT-FM,88.1 FM,Trenton,New York Public Radio,NPR
WNJY,89.3 FM,Netcong,New York Public Radio,NPR
WNJZ,90.3 FM,Cape May Court House,"WHYY, Inc.",NPR
WNNJ,103.7 FM,Newton,"CC Licenses, LLC",Classic Rock
WNSH,94.7 FM,Newark,Radio License Holdings LLC,Country
WNSW,1430 AM,Newark,"Starboard Media Foundation, Inc.",Religious Spanish
WNTI,91.9 FM,Hackettstown,Centenary College,Adult Album Alternative
WNYM,970 AM,Hackensack,"Salem Media of New York, LLC",Conservative talk
WOBM,1160 AM,Lakewood Township,"Townsquare Media Monmouth-Ocean License, LLC",News/Talk
WOBM-FM,92.7 FM,Toms River,"Townsquare Media Monmouth-Ocean License, LLC",Adult Contemporary
WOND,1400 AM,Pleasantville,Longport Media,News/Talk
WPAT,930 AM,Paterson,"Multicultural Radio Broadcasting Licensee, LLC",Ethnic
WPAT-FM,93.1 FM,Paterson,"WPAT Licensing, Inc.",Spanish Adult Contemporary
WPDI,103.9 FM,Hazlet,"WVRM, Inc.",
WPEN,97.5 FM,Burlington,"Greater Philadelphia Radio, Inc.",Sports Talk
WPGG,1450 AM,Atlantic City,"Townsquare Media Atlantic City License, LLC",Talk
WPHI-FM,107.9 FM,Pennsauken,"Radio One Licenses, LLC",Classic Hip Hop
WPOV-LP,107.7 FM,Vineland,"Calvary Chapel of Vineland, Inc.",
WPRB,103.3 FM,Princeton,"Princeton Broadcasting Service, Inc.",Variety
WPSC-FM,88.7 FM,Wayne,William Paterson College of N.J.,Freeform
WPST,94.5 FM,Trenton,"Connoisseur Media Licenses, LLC",Top 40
WPUR,107.3 FM,Atlantic City,"Townsquare Media Atlantic City License, LLC",Country
WQXR-FM,105.9 FM,Newark,New York Public Radio,Classical
WRAT,95.9 FM,Point Pleasant,The Sentinel Publishing Co.,Mainstream Rock
WRDR,89.7 FM,Freehold Township,Bridgelight LLC,Religious
WRNJ,1510 AM,Hackettstown,WRNJ Radio Inc.,Oldies
WRPR,90.3 FM,Mahwah,Ramapo College of New Jersey,Freeform
WRRC,107.7 FM,Lawrenceville,Board of Trustees of Rider College,Adult Hits/Oldies
WRSU-FM,88.7 FM,New Brunswick,Board of Governors of Rutgers University,College/Freeform
WRTQ,91.3 FM,Ocean City,Temple University of the Commonwealth System of Higher Education,Classical/Jazz (Simulcast of WRTI)
WSJO,104.9 FM,Egg Harbor City,"Townsquare Media Atlantic City III License, LLC",Hot Adult Contemporary
WSMJ,91.9 FM,North Wildwood,Soul Mates,
WSNJ,1240 AM,Bridgeton,"Quinn Communications and Marketing, LLC",Variety
WSNR,620 AM,Jersey City,Blackstrap Broadcasting,Brokered Time
WSOU,89.5 FM,South Orange,Seton Hall University,Modern Active Rock
WSUS,102.3 FM,Franklin,"CC Licenses, LLC",Adult Contemporary
WTHJ,106.5 FM,Bass River Township,"Press Communications, LLC",Simulcast of WKMK
WTKU-FM,98.3 FM,Petersburg,Longport Media,Classic Hits
WTMR,800 AM,Camden,WTMR License Limited Partnership,Religious
WTOC,1360 AM,Newton,"Centro Biblico of NJ, Inc.",Oldies
WTSR,91.3 FM,Trenton,The College of New Jersey,Freeform
WTTH,96.1 FM,Margate City,Equity Communications,Urban Adult Contemporary
WTTM,1680 AM,Lindenwold,"Multicultural Radio Broadcasting Licensee, LLC",World Ethnic
WUPC-LP,102.3 FM,Arrowhead Village,Radio Alerta,
WVBH,88.3 FM,Beach Haven West,Priority Radio,Christian Contemporary
WVBV,90.5 FM,Medford Lakes,"Hope Christian Church of Marlton, Inc.",Religious
WVLT,92.1 FM,Vineland,"Clear Communications, Inc.",Oldies
WVNJ,1160 AM,Oakland,Universal Broadcasting of New York,Talk; Standards
WVPH,90.3 FM,Piscataway,Piscataway Board Of Education,Freeform
WWAC,102.7 FM,Ocean City,Longport Media,Top 40
WWCJ,89.1 FM,Cape May,Mercer County Community College,Simulcast of WWFM
WWFM,89.1 FM,Trenton,Mercer County Community College,Classical
WWFP,90.5 FM,Brigantine,"Hope Christian Church of Marlton, Inc.",Religious
WWJZ,640 AM,Mount Holly,"Radio Disney Group, LLC",Radio Disney
WWNJ,91.1 FM,Toms River,Mercer County Community College,Simulcast of WWFM
WWPH,107.9 FM,Princeton Junction,West Windsor-Plainsboro Regional School District,Freeform
WWRU,1660 AM,Jersey City,"Multicultural Radio Broadcasting Licensee, LLC",Korean
WWTR,1170 AM,Bridgewater,"EBC Music, Inc.",South Asian
WWYY,107.1 FM,Belvidere,"Connoisseur Media Licenses, LLC",Modern Rock
WWZY,107.1 FM,Long Branch,Press Communications LLC,Hot Adult Contemporary
WXGN,90.5 FM,Egg Harbor Township,"Joy Broadcasting, Inc.",Christian Rock
WXMC,1310 AM,Parsippany-Troy Hills,"World India Radio, LLC",Spanish Tropical
WYGG,88.1 FM,Asbury Park,"Minority Business & Housing Development, Inc.",Haitian Religious
WYPA,89.5 FM,Cherry Hill,Educational Media Foundation,Contemporary Christian
WYRS,90.7 FM,Manahawkin,WYRS Broadcasting,Christian
WZBL,88.1 FM,Barnegat Light,"Hope Christian Church of Marlton, Inc.",
WZBZ,99.3 FM,Pleasantville,Equity Communications,Rhythmic Contemporary
WZFI-LP,98.5 FM,Bridgeton,Azariah Communications,
WZXL,100.7 FM,Wildwood,Equity Communications,Rock
