KKEA,1420 AM,Honolulu,Oahu,"Blow Up, LLC",All Sports
KKNE,940 AM,Waipahu,Oahu,"SM-KKNE, LLC",Adult Standards/MOR
KKOA,107.7 FM,Volcano,Hawai'i,"Mahalo Broadcasting, L.L.C.",Hawai'ian Country
KKOL-FM,107.9 FM,Aiea,Oahu,"Salem Media of Hawaii, Inc.",Oldies
KKON,790 AM,Kealakekua,Hawai'i,"Pacific Radio Group, Inc.",All Sports
KKUA,90.7 FM,Wailuku,Maui,"Hawaii Public Radio, Inc.",Classical
KLEO,106.1 FM,Kahaluu,Oahu,"Pacific Radio Group, Inc.",Hot Adult Contemporary
KLHI-FM,92.5 FM,Kahului,Maui,"Pacific Radio Group, Inc.",
KLHT,1040 AM,Honolulu,Oahu,"Calvary Chapel of Honolulu, Inc.",Religious
KLUA,93.9 FM,Kailua Kona,Hawai'i,"Pacific Radio Group, Inc.",Rhythmic Contemporary Hit Radio
KMKK-FM,102.3 FM,Kaunakakai,Moloka'i,Ohana Broadcast Company LLC,Adult Contemporary
KMKV,102.9 FM,Paia,Maui,Educational Media Foundation,Country
KMNO,91.7 FM,Wailuku,Maui,Mana'o Radio,
KMVI,900 AM,Kahului,Maui,"Pacific Radio Group, Inc.",Sports
KMWB,93.1 FM,Captain Cook,Hawai'i,New West Broadcasting Corp.,Classic Hits
KNAN,106.7 FM,Nanakuli,Oahu,"Big D Consulting, Inc.",
KNDI,1270 AM,Honolulu,Oahu,"Geronimo Broadcasting, LLC",Hawai'ian Religious
KNUI,550 AM,Wailuku,Maui,"Pacific Radio Group, Inc.",News Talk Information
KNUQ,103.9 FM,Paauilo,Hawai'i,"Visionary Related Entertainment, LLC",World Ethnic
KNWB,97.1 FM,Hilo,Hawai'i,New West Broadcasting Corp.,Classic Hits
KONI,104.7 FM,Lanai City,Lana'i,"Hochman Hawaii Publishing, Inc.",Oldies
KOPO-LP,88.9 FM,Paia,Maui,Paia Youth Council Inc.,
KORL,1180 AM,Honolulu,Oahu,James L. Primm,World Ethnic
KORL-FM,101.1 FM,Waianae,Oahu,"Hochman Hawaii Three, Inc.",Smooth Jazz
KPHI,1130 AM,Honolulu,Oahu,"Hochman-McCann Hawaii, Inc.",
KPHW,104.3 FM,Kaneohe,Oahu,"SM-KPHW, LLC",Rhythmic Contemporary Hit Radio
KPMW,105.5 FM,Haliimaile,Maui,"Rey-Cel Broadcasting, Inc.",Rhythmic Contemporary Hit Radio/Ethnic
KPOA,93.5 FM,Lahaina,Maui,"Pacific Radio Group, Inc.",Hawaiian Adult Contemporary
KPOI-FM,105.9 FM,Honolulu,Oahu,Ohana Broadcast Company LLC,Alternative Rock
KPRP,650 AM,Honolulu,Oahu,"SM-KRTR-AM, LLC",Soft Adult Contemporary
KPUA,670 AM,Hilo,Hawai'i,New West Broadcasting Corp.,News Talk Information
KPVS,95.9 FM,Hilo,Hawai'i,"Pacific Radio Group, Inc.",Rhythmic Contemporary Hit Radio
KQMQ-FM,93.1 FM,Honolulu,Oahu,Ohana Broadcast Company LLC,Hawaiian Music
KQNG,570 AM,Eleele,Kaua'i,Ohana Broadcast Company LLC,News Talk Information
KQNG-FM,93.5 FM,Lihue,Kaua'i,Ohana Broadcast Company LLC,Pop Contemporary Hit Radio
KREA,1540 AM,Honolulu,Oahu,"JMK Communications, Inc.",Ethnic/Korean
KRKH,97.3 FM,Wailea-Makena,Hawai'i,"Hochman Hawaii Publishing, Inc.",Active Rock
KRTR-FM,96.3 FM,Kailua,Oahu,"SM-KRTR-FM, LLC",Adult Contemporary
KRYL,106.5 FM,Haiku,Maui,"Hochman Hawaii Five, Inc.",Country
KSHK,103.1 FM,Hanamaulu,Kaua'i,Ohana Broadcast Company LLC,Classic Rock
KSRF,95.9 FM,Poipu,Kaua'i,Ohana Broadcast Company LLC,Local Hawaiian & Reggae
KSSK,590 AM,Honolulu,Oahu,Capstar TX LLC,Adult Contemporary
KSSK-FM,92.3 FM,Waipahu,Oahu,Capstar TX LLC,Adult Contemporary
KTBH-FM,102.1 FM,Kurtistown,Hawai'i,Resonate Hawii LLC,
KTOH,99.9 FM,Kalaheo,Kaua'i,"Hochman Hawaii One, Inc.",Oldies/Classic Rock
KTUH,90.3 FM,Honolulu,Oahu,The University of Hawaii,Alternative
KUAI,720 AM,Kekaha,Kaua'i,Ohana Broadcast Company LLC,Classic Country
KUAU,1570 AM,Haiku,Maui,First Assembly King's Cathedral and Chapels,Conservative Talk
KUCD,101.9 FM,Pearl City,Oahu,Capstar TX LLC,Alternative
KUMU-FM,94.7 FM,Honolulu,Oahu,Ohana Broadcast Company LLC,Adult Contemporary
KUPA,1370 AM,Pearl City,Oahu,Broadcasting Corporation of America,Sports
KWAI,1080 AM,Honolulu,Oahu,"Radio Hawaii, Inc.",News/Talk
KWXX-FM,94.7 FM,Hilo,Hawai'i,New West Broadcasting Corporation,Adult Contemporary
KWYI,106.9 FM,Kawaihae,Hawai'i,Colin H. Naito,Hot AC/Oldies
KXRG-LP,95.9 FM,Honolulu,Oahu,Ohana Broadcasters Corporation,Electronic Dance Music
KZOO,1210 AM,Honolulu,Oahu,"Polynesian Broadcasting, Inc.",Ethnic/Japanese
KZZV,94.3 FM,Hanapepe,,Virtues Communications Network LLC,
