Format,Call Letters,Market,Station Name
Adult Contemporary,WBEN,"Philadelphia, PA ",95.7 BEN FM
Adult Contemporary,WBMX,"Boston, MA ",MIX 104.1
Adult Contemporary,WBUF,"Buffalo, NY ",92.9 JACK FM
Adult Contemporary,WBZZ,"Pittsburgh, PA ",STAR 100.7
Adult Contemporary,WCDA,"Lexington, KY ",106.3 TODAY'S BEST MUSIC
Adult Contemporary,WCLI,"Dayton, OH ",CLICK 101-5
Adult Contemporary,WCRZ,"Flint, MI ",CARS 108
Adult Contemporary,WDEF,"Chattanooga, TN ",SUNNY 92.3
Adult Contemporary,WDOK,"Cleveland, OH ",CLEVELAND'S NEW 102
Adult Contemporary,WDUV,"Tampa-St. Petersburg, FL ",105.5 WDUV
Adult Contemporary,WDVD,"Detroit, MI ",96.3 WDVD TODAY'S BEST HITS
Adult Contemporary,WDVI,"Rochester, NY ",100.5 THE DRIVE
Adult Contemporary,WEAT,"West Palm Beach-Boca Raton, FL ",SUNNY 107.9 FM
Adult Contemporary,WEBE,"Bridgeport, CT ",WEBE 108
Adult Contemporary,WEZF,"Burlington-Plattsburgh, VT-NY ",STAR 92.9
Adult Contemporary,WEZN,"Hartford, CT ",STAR 99.9
Adult Contemporary,WFEZ,"Miami, FL ",EASY 93.1
Adult Contemporary,WFMK,"Lansing-East Lansing, MI ",99.1 WFMK
Adult Contemporary,WFPG,"Atlantic City, NJ ",LITE ROCK 96.9
Adult Contemporary,WGER,"Saginaw-Bay City-Midland, MI ",MIX 106.3
Adult Contemporary,WGFB,"Rockford, IL ",B103
Adult Contemporary,WGYL,"Ft. Pierce-Stuart-Vero Beach, FL ",THE BREEZE 93.7
Adult Contemporary,WHBC,"Akron, OH ",MIX 94.1
Adult Contemporary,WHLG,"West Palm Beach-Boca Raton, FL ",COAST 101.3
Adult Contemporary,WHLK,"Cleveland, OH ",106.5 THE LAKE
Adult Contemporary,WHOM,"Portland-Poland Spring, ME ",94.9 FM WHOM
Adult Contemporary,WHUD,"Hudson Valley, NY ",100.7 WHUD
Adult Contemporary,WHYN,"Springfield, MA ",MIX 93.1
Adult Contemporary,WIAD,"Washington, DC ",94.7 FRESH FM
Adult Contemporary,WILV,"Chicago, IL ",CHICAGO'S 100.3
Adult Contemporary,WINC,"Washington, DC ",92.5 WINC-FM
Adult Contemporary,WINK,"Ft. Myers-Naples, FL ",96.9 MORE FM
Adult Contemporary,WISX,"Philadelphia, PA ",MIX 106.1
Adult Contemporary,WIXM,"Burlington-Plattsburgh, VT-NY ",MIX 102.3
Adult Contemporary,WJBR,"Wilmington, DE ",WJBR 99.5 FM
Adult Contemporary,WJKK,"Jackson, MS ",MIX 98.7
Adult Contemporary,WJLK,"Monmouth-Ocean, NJ ",94.3 FM THE POINT
Adult Contemporary,WJXA,"Nashville, TN ",MIX 92.9
Adult Contemporary,WJXB,"Knoxville, TN ",B-97.5
Adult Contemporary,WKJY,"Nassau-Suffolk, NY ",K 98.3
Adult Contemporary,WKQC,"Charlotte, NC ",K104.7 FM
Adult Contemporary,WKRQ,"Cincinnati, OH ",Q102
Adult Contemporary,WLDB,"Milwaukee, WI ",B93.3
Adult Contemporary,WLEV,"Allentown, PA ",100.7 WLEV
Adult Contemporary,WLHT,"Grand Rapids, MI ",CHANNEL 95.7
Adult Contemporary,WLIF,"Baltimore, MD ",TODAY'S 101.9
Adult Contemporary,WLIT,"Chicago, IL ",93.9 MY FM
Adult Contemporary,WLKO,"Charlotte, NC ",102.9 THE LAKE
Adult Contemporary,WLNK,"Charlotte, NC ",107.9 FM THE LINK
Adult Contemporary,WLTJ,"Pittsburgh, PA ",Q92.9
Adult Contemporary,WLTW,"New York, NY ",106.7 LITE FM
Adult Contemporary,WLWK,"Milwaukee, WI ",94.5 LAKE FM
Adult Contemporary,WLYF,"Miami, FL ",101.5 LITE FM
Adult Contemporary,WMAS,"Springfield, MA ",94.7 FM WMAS
Adult Contemporary,WMC,"Memphis, TN ",FM 100
Adult Contemporary,WMEE,"Ft. Wayne, IN ",97.3 WMEE
Adult Contemporary,WMEZ,"Pensacola, FL ",SOFT ROCK 94.1
Adult Contemporary,WMGF,"Orlando, FL ",MAGIC 107.7 FM
Adult Contemporary,WMGN,"Madison, WI ",MAGIC 98
Adult Contemporary,WMGS,"Wilkes-Barre-Scranton, PA ",MAGIC 93 FM
Adult Contemporary,WMGV,"Greenville-New Bern, NC ",V103.3
Adult Contemporary,WMGX,"Portland-Poland Spring, ME ",COAST 93.1
Adult Contemporary,WMJX,"Boston, MA ",MAGIC 106.7
Adult Contemporary,WMMO,"Orlando, FL ",98.9 WMMO
Adult Contemporary,WMMX,"Dayton, OH ",MIX 107.7 WMMX
Adult Contemporary,WMSX,"Buffalo, NY ",MIX 96
Adult Contemporary,WMTX,"Tampa-St. Petersburg, FL ",MIX 100.7 WMTX FM
Adult Contemporary,WMXC,"Mobile, Al ",LITE MIX 99.9
Adult Contemporary,WMXS,"Montgomery, AL ",MIX 103
Adult Contemporary,WMXZ,"Charleston, SC ",MIX 96
Adult Contemporary,WMYX,"Milwaukee, WI ",99 WMYX
Adult Contemporary,WNIC,"Detroit, MI ",FRESH 100.3
Adult Contemporary,WNNK,"Harrisburg-Lebanon-Carlisle, PA ",WINK 104
Adult Contemporary,WNTR,"Indianapolis, IN ",107.9 THE MIX
Adult Contemporary,WOBM,"Monmouth-Ocean, NJ ",SOFT ROCK 92.7 WOBM
Adult Contemporary,WOMX,"Orlando, FL ",MIX 105.1 FM
Adult Contemporary,WPLJ,"New York, NY ",95.5 WPLJ
Adult Contemporary,WPLM,"Providence-Warwick-Pawtucket, RI ",EASY 99.1
Adult Contemporary,WPTE,"Norfolk-Virginia Beach, VA ",94.9 THE POINT
Adult Contemporary,WQAL,"Cleveland, OH ",Q104
Adult Contemporary,WQLH,"Green Bay, WI ",STAR 98
Adult Contemporary,WQSR,"Baltimore, MD ",102.7 JACK FM
Adult Contemporary,WRAL,"Raleigh-Durham, NC ",MIX 101.5
Adult Contemporary,WRCH,"Hartford, CT ",LITE 100.5 FM WRCH
Adult Contemporary,WREW,"Cincinnati, OH ",CINCINNATI'S BEST MIX
Adult Contemporary,WRMF,"West Palm Beach-Boca Raton, FL ",WRMF 97.9 FM
Adult Contemporary,WRMM,"Rochester, NY ",WARM 101.3
Adult Contemporary,WROZ,"York, PA ",101 THE ROSE
Adult Contemporary,WRRK,"Pittsburgh, PA ",BOB FM 96.9
Adult Contemporary,WRRM,"Cincinnati, OH ",WARM 98
Adult Contemporary,WRSA,"Huntsville, AL ",LITE 96.9
Adult Contemporary,WRVE,"Albany-Schenectady, NY ",99.5 THE RIVER
Adult Contemporary,WRVF,"Toledo, OH ",101.5 THE RIVER
Adult Contemporary,WRVR,"Memphis, TN ",THE RIVER - WRVR 104.5 FM
Adult Contemporary,WRWM,"Indianapolis, IN ",I94
Adult Contemporary,WSB,"Atlanta, GA ",B98.5
Adult Contemporary,WSGL,"Ft. Myers-Naples, FL ",MIX 104.7
Adult Contemporary,WSHH,"Pittsburgh, PA ",WISH 99.7 FM
Adult Contemporary,WSJO,"Atlantic City, NJ ",SOJO 104.9
Adult Contemporary,WSLQ,"Roanoke-Lynchburg, VA ",Q99 FM
Adult Contemporary,WSNE,"Providence-Warwick-Pawtucket, RI ",COAST 93.3
Adult Contemporary,WSNY,"Columbus, OH ",SUNNY 95
Adult Contemporary,WSPA,"Greenville-Spartanburg, SC ",MAGIC 98.9
Adult Contemporary,WSRS,"Boston, MA ",96.1 WSRS
Adult Contemporary,WSRW,"Grand Rapids, MI ",STAR 105.7 FM
Adult Contemporary,WSTR-HD,"Atlanta, GA ",STAR 94 FM ATLANTA
Adult Contemporary,WSTW,"Wilmington, DE ",WSTW 93.7
Adult Contemporary,WTCB,"Columbia, SC ",B106.7
Adult Contemporary,WTFM,"Johnson City-Kingsport-Bristol, TN-VA ",98.5 WTFM SOFT ROCK
Adult Contemporary,WTIC,"Hartford, CT ",96.5 TIC-FM
Adult Contemporary,WTMX,"Chicago, IL ",101.9 FM THE MIX
Adult Contemporary,WTSS,"Buffalo, NY ",STAR 102.5
Adult Contemporary,WTVR,"Richmond, VA ",LITE 98 FM
Adult Contemporary,WVAF,"Charleston, WV ",V100
Adult Contemporary,WVMX,"Columbus, OH ",MIX 107.9
Adult Contemporary,WWDE,"Norfolk-Virginia Beach, VA ",2WD 101.3 FM
Adult Contemporary,WWFS,"New York, NY ",FRESH 102.7 FM
Adult Contemporary,WWLI,"Providence-Warwick-Pawtucket, RI ",LITEROCK 105
Adult Contemporary,WWMP,"Burlington-Plattsburgh, VT-NY ",MP103.3
Adult Contemporary,WWMX,"Baltimore, MD ",MIX 106.5
Adult Contemporary,WWRM,"Tampa-St. Petersburg, FL ",MAGIC 94.9 FM
Adult Contemporary,WWWM,"Toledo, OH ",STAR 105
Adult Contemporary,WWZY,"Monmouth-Ocean, NJ ",107.1 FM
Adult Contemporary,WXLO,"Boston, MA ",104.5 XLO
Adult Contemporary,WXLY,"Charleston, SC ",Y102.5
Adult Contemporary,WXMA,"Louisville, KY ",102.3 - THE MAX
Adult Contemporary,WYJB,"Albany-Schenectady, NY ",B95.5
Adult Contemporary,WYXB,"Indianapolis, IN ",B 105.7 SOFT ROCK
Adult Contemporary,WYYY,"Syracuse, NY ",Y94 FM
Adult Contemporary,WZID,"Manchester, NH ",95.7 FM WZID
Alternative,CIMX,"Detroit, MI ",89X
Alternative,KBZT,"San Diego, CA ",FM 94/9
Alternative,KCXX,"Riverside-San Bernardino, CA ",X103.9
Alternative,KDGE,"Dallas-Ft. Worth, TX ",102.1 FM THE EDGE
Alternative,KDKB,"Phoenix, AZ ",93.3 ALT AZ
Alternative,KDXA,"Des Moines, IA ",ALT 106.3
Alternative,KFMA,"Tucson, AZ ",KFMA 102.1
Alternative,KFRR,"Fresno, CA ",NEW ROCK 104.1
Alternative,KHTB,"Salt Lake City, UT ",ALT 94.9
Alternative,KITS,"San Francisco, CA ",LIVE 105
Alternative,KJEE,"Santa Barbara, CA ",92.9 KJEE
Alternative,KKDO,"Sacramento, CA ",RADIO 94.7
Alternative,KMYZ,"Tulsa, OK ",Z-104.5 THE EDGE
Alternative,KNDD,"Seattle-Tacoma, WA ",THE END 107.7
Alternative,KNRK,"Portland, OR ",94/7 FM ALTERNATIVE PORTLAND
Alternative,KPNT,"St. Louis, MO ",105.7 THE POINT
Alternative,KPOI,"Honolulu, HI ",ALT 105.9
Alternative,KRAB,"Bakersfield, CA ",KRAB 106.1 FM
Alternative,KRBZ,"Kansas City, MO-KS ",96.5 THE BUZZ
Alternative,KROQ,"Los Angeles, CA ",WORLD FAMOUS KROQ 106.7 FM
Alternative,KROX,"Austin, TX ",101X
Alternative,KRXP,"Colorado Springs, CO ",103.9 RXP
Alternative,KTBZ,"Houston-Galveston, TX ",94.5 FM THE BUZZ
Alternative,KTCL,"Denver, CO ",CHANNEL 93.3
Alternative,KTEG,"Albuquerque, NM ",104.1 THE EDGE
Alternative,KUCD,"Honolulu, HI ",STAR 101.9
Alternative,KXDE,"Denver, CO ",107 X
Alternative,KXRK,"Salt Lake City, UT ",X96
Alternative,KXTE,"Las Vegas, NV ",X 107.5
Alternative,KYSR,"Los Angeles, CA ",ALT 98.7
Alternative,MCMR,Networks,MC MUSIC CHOICE - ALTERNATIVE
Alternative,SXAN,Networks,SIRIUS XM - ALT NATION
Alternative,SXFC,Networks,SIRIUS XM - FACTION
Alternative,WBOS,"Boston, MA ",RADIO 92.9
Alternative,WBRU,"Providence-Warwick-Pawtucket, RI ",95.5 WBRU
Alternative,WBTZ,"Burlington-Plattsburgh, VT-NY ",99.9 THE BUZZ
Alternative,WBUZ,"Nashville, TN ",BUZZ 102.9
Alternative,WCAD,"San Juan, PR ",ALFA ROCK 105.7
Alternative,WCLX,"Burlington-Plattsburgh, VT-NY ",FARM FRESH RADIO 102.9 FM
Alternative,WCYY,"Portland-Poland Spring, ME ",WCYY 94.3
Alternative,WEDG,"Buffalo, NY ",103.3 THE EDGE
Alternative,WEND,"Charlotte, NC ",NEW ROCK 106.5 THE END
Alternative,WEQX,"Albany-Schenectady, NY ",102.7 FM EQX
Alternative,WFTK,"Cincinnati, OH ",96 ROCK
Alternative,WGMP,"Montgomery, AL ",104.9 THE GUMP
Alternative,WHHZ,"Gainesville-Ocala, FL ",100.5 THE BUZZ
Alternative,WIVG,"Memphis, TN ",96X
Alternative,WKQX,"Chicago, IL ",101 WKQX
Alternative,WLKK,"Buffalo, NY ",ALTERNATIVE BUFFALO - 107.7
Alternative,WLUM,"Milwaukee, WI ",FM 102.1
Alternative,WMRQ,"Hartford, CT ",RADIO 104.1
Alternative,WOLT,"Indianapolis, IN ",ALT 103.3
Alternative,WRDA,"Atlanta, GA ",RADIO 105.7
Alternative,WRFF,"Philadelphia, PA ",RADIO 104.5
Alternative,WRMR,"Greenville-New Bern, NC ",MODERN ROCK 98.7
Alternative,WROX,"Norfolk-Virginia Beach, VA ",96X
Alternative,WRXL,"Richmond, VA ",NEW ROCK 102.1 THE X
Alternative,WSUN,"Tampa-St. Petersburg, FL ",97X
Alternative,WWCD,"Columbus, OH ",102.5 THE ALTERNATIVE STATION
Alternative,WWDC,"Washington, DC ",DC101
Alternative,WXDX,"Pittsburgh, PA ",THE X
Alternative,WXEG,"Dayton, OH ",103.9 THE X
Alternative,WXNX,"Ft. Myers-Naples, FL ",93 X
Alternative,WXXJ,"Jacksonville, FL ",X102.9
Alternative,WZNE,"Rochester, NY ",THE ZONE @ 94.1
Alternative,XTRA,"San Diego, CA ",91X
Canada: AC,CFCA,"Kitchener, ON ",105.3 KOOL FM
Canada: AC,CFDA,Trois-Rivieres,PASSION ROCK 101.9
Canada: AC,CFGE,"Sherbrooke, QC ",RYTHME FM 93.7
Canada: AC,CFGL,"Montreal, QC ",105.7 RYTHME FM
Canada: AC,CFHK,"London, ON ",103.1 FRESH FM
Canada: AC,CFIX,"Saguenay, QC ",ROUGE FM
Canada: AC,CFJL,"Winnipeg, MB ",100.7 THE JEWEL
Canada: AC,CFLG,"Cornwall, ON ",VARIETY 104.5
Canada: AC,CFLT,"Halifax, NS ",92.9 JACK FM
Canada: AC,CFLY,"Kingston, ON ",98.3 FLY FM
Canada: AC,CFMC,"Saskatoon, SK ",C95 FM
Canada: AC,CFOM,"Quebec City, QC ","102,9 FM CFOM"
Canada: AC,CFRV,"Lethbridge, AB ",107.7 THE RIVER
Canada: AC,CFVD,"Degelis, QC ","HORIZON 95,5 FM"
Canada: AC,CFWD,"Saskatoon, SK ",96.3 CRUZ FM
Canada: AC,CFWM,"Winnipeg, MB ",99.9 BOB FM
Canada: AC,CFXL,"Calgary, AB ",XL 103
Canada: AC,CHAY,"Barrie, ON ",CHAY TODAY @ 93.1 FM
Canada: AC,CHBE,"Victoria, BC ",KOOL 107.3
Canada: AC,CHBM,"Toronto, ON ",BOOM 97.3
Canada: AC,CHEQ,"Quebec City, QC ",FM 101.5
Canada: AC,CHEY,Trois-Rivieres,ROUGE FM
Canada: AC,CHFI,"Toronto, ON ",98.1 CHFI
Canada: AC,CHFM,"Calgary, AB ",95.9 KISS-FM
Canada: AC,CHIK,"Quebec City, QC ",NRJ 98.9
Canada: AC,CHIQ,"Winnipeg, MB ",FAB 94.3
Canada: AC,CHLC,"Baie-Comeau, QC ",FM 97.1
Canada: AC,CHLX,"Ottawa, ON ",PLANETE 97.1
Canada: AC,CHMP,"Montreal, QC ",98.5 FM
Canada: AC,CHMX,"Regina, SK ",MY 92.1
Canada: AC,CHNO,"Sudbury, ON ",REWIND 103.9
Canada: AC,CHNS,"Halifax, NS ",89.9 THE WAVE
Canada: AC,CHOX,"La Pocatiere, QC ","CHOX 97,5"
Canada: AC,CHOZ,"St. John's, NL ",OZ FM
Canada: AC,CHQM,"Vancouver, BC ",103.5 QM/FM
Canada: AC,CHRD,Trois-Rivieres,BOOM 105.3 FM
Canada: AC,CHRE,"St. Catharines, ON ",105.7 EZ ROCK
Canada: AC,CHRL,"Roberval, QC ",PLANETE 99.5
Canada: AC,CHST,"London, ON ",102.3 BOB FM
Canada: AC,CHTT,"Victoria, BC ",103.1 JACK FM
Canada: AC,CHUB,"Red Deer, AB ",BIG 105.5
Canada: AC,CHUM,"Toronto, ON ",104.5 CHUM
Canada: AC,CHUP,"Calgary, AB ",UP! 97.7
Canada: AC,CHVD,"Dolbeau, QC ",PLANETE 100.3
Canada: AC,CHWV,"Saint John, NB ",THE WAVE 97.3
Canada: AC,CHYM,"Kitchener, ON ",96.7 CHYM FM
Canada: AC,CHYR,"Windsor, ON ",MIX 96.7
Canada: AC,CIBX,"Fredericton, NB ",CAPITAL 106
Canada: AC,CIGL,"Belleville, ON ",MIX 97
Canada: AC,CIHI,"Fredericton, NB ",UP! 93.1
Canada: AC,CIHR,"London, ON ",104.7 HEART FM
Canada: AC,CILK,"Kelowna, BC ",101.5 EZ ROCK
Canada: AC,CIMF,"Ottawa, ON ",ROUGE FM
Canada: AC,CIMJ,"Kitchener, ON ",MAGIC 106.1
Canada: AC,CING,"Toronto, ON ",953 FRESH FM
Canada: AC,CIOC,"Victoria, BC ",OCEAN 98.5
Canada: AC,CIOK,"Saint John, NB ",K100
Canada: AC,CIOO,"Halifax, NS ",C100
Canada: AC,CISO,"Barrie, ON ",SUNSHINE 89.1
Canada: AC,CISS,"Ottawa, ON ",105.3 KISS FM
Canada: AC,CITE,"Montreal, QC ",ROUGE FM
Canada: AC,CITE,"Sherbrooke, QC ",ROUGE FM CITE-FM-1
Canada: AC,CITF,"Quebec City, QC ",ROUGE FM
Canada: AC,CIUP,"Edmonton, AB ",UP! 99.3
Canada: AC,CIZL,"Regina, SK ",Z99
Canada: AC,CJAQ,"Calgary, AB ",96.9 JACK FM
Canada: AC,CJDM,Trois-Rivieres,NRJ 92.1
Canada: AC,CJEB,Trois-Rivieres,RYTHME FM
Canada: AC,CJEC,"Quebec City, QC ",WKND 91.9 FM
Canada: AC,CJFM,"Montreal, QC ",VIRGIN RADIO 95.9 FM
Canada: AC,CJGV,"Winnipeg, MB ",99.1 FRESH FM
Canada: AC,CJLM,"Montreal, QC ",CJLM
Canada: AC,CJMJ,"Ottawa, ON ",MAJIC 100
Canada: AC,CJMK,"Saskatoon, SK ",98 COOL FM
Canada: AC,CJMX,"Sudbury, ON ",105.3 EZ ROCK
Canada: AC,CJOC,"Lethbridge, AB ",94.1 FM CJOC
Canada: AC,CJOI,"Rimouski, QC ",ROUGE FM
Canada: AC,CJOJ,"Belleville, ON ",95.5 HITS-FM
Canada: AC,CJOT,"Ottawa, ON ",BOOM 99.7
Canada: AC,CJPT,"Kingston, ON ",103.7 BOB FM
Canada: AC,CJSO,"Montreal, QC ",L'ESSENTIEL
Canada: AC,CJUI,"Kelowna, BC ",103.9 THE JUICE
Canada: AC,CJUV,"Red Deer, AB ",SUNNY 94
Canada: AC,CJWL,"Ottawa, ON ",98.5 THE JEWEL
Canada: AC,CJWV,"Peterborough, ON ",MAGIC 96.7
Canada: AC,CJYC,"Saint John, NB ",KOOL 98
Canada: AC,CKBE,"Montreal, QC ",THE BEAT 92.5
Canada: AC,CKCE,"Calgary, AB ",KOOL 101.5
Canada: AC,CKCK,"Regina, SK ",94.5 JACK FM
Canada: AC,CKCW,"Moncton, NB ",K 94.5 FM
Canada: AC,CKEA,"Edmonton, AB ",95.7 CRUZ FM
Canada: AC,CKHZ,"Halifax, NS ",ENERGY 103.5
Canada: AC,CKIZ,"Vernon, BC ",107.5 KISS FM
Canada: AC,CKKL,"Ottawa, ON ",93.9 BOB FM
Canada: AC,CKKW,"Kitchener, ON ",KFUN 99.5 FM
Canada: AC,CKLG,"Vancouver, BC ",96.9 JACK FM
Canada: AC,CKLH,"Hamilton, ON ",102.9 K-LITE FM
Canada: AC,CKLX,"Montreal, QC ",PLANETE JAZZ 91.9
Canada: AC,CKLY,"Peterborough, ON ",91.9 BOB FM
